marque,co2,Carrosserie,gamme
ALFA-ROMEO,182,BERLINE,MOY-SUPER
ALFA-ROMEO,186,BERLINE,MOY-SUPER
ALFA-ROMEO,134,BERLINE,MOY-SUPER
ALFA-ROMEO,134,BERLINE,MOY-SUPER
ALFA-ROMEO,139,BERLINE,MOY-SUPER
ALFA-ROMEO,139,BERLINE,MOY-SUPER
ALFA-ROMEO,136,BERLINE,MOY-SUPER
ALFA-ROMEO,137,BREAK,MOY-SUPER
ALFA-ROMEO,137,BREAK,MOY-SUPER
ALFA-ROMEO,142,BREAK,MOY-SUPER
ALFA-ROMEO,142,BREAK,MOY-SUPER
ALFA-ROMEO,139,BREAK,MOY-SUPER
ALFA-ROMEO,157,COUPE,LUXE
ALFA-ROMEO,379,CABRIOLET,LUXE
ALFA-ROMEO,379,CABRIOLET,LUXE
ALFA-ROMEO,189,COUPE,MOY-SUPER
ALFA-ROMEO,189,COUPE,MOY-SUPER
ALFA-ROMEO,142,COUPE,MOY-SUPER
ALFA-ROMEO,142,COUPE,MOY-SUPER
ALFA-ROMEO,142,COUPE,MOY-SUPER
ALFA-ROMEO,142,COUPE,MOY-SUPER
ALFA-ROMEO,149,BERLINE,MOY-INFER
ALFA-ROMEO,149,BERLINE,MOY-INFER
ALFA-ROMEO,134,BERLINE,MOY-INFER
ALFA-ROMEO,134,BERLINE,MOY-INFER
ALFA-ROMEO,132,BERLINE,MOY-INFER
ALFA-ROMEO,134,BERLINE,MOY-INFER
ALFA-ROMEO,132,BERLINE,MOY-INFER
ALFA-ROMEO,132,BERLINE,MOY-INFER
ALFA-ROMEO,134,BERLINE,MOY-INFER
ALFA-ROMEO,132,BERLINE,MOY-INFER
ALFA-ROMEO,134,BERLINE,MOY-INFER
ALFA-ROMEO,134,BERLINE,MOY-INFER
ALFA-ROMEO,134,BERLINE,MOY-INFER
ALFA-ROMEO,132,BERLINE,MOY-INFER
ALFA-ROMEO,132,BERLINE,MOY-INFER
ALFA-ROMEO,131,BERLINE,MOY-INFER
ALFA-ROMEO,131,BERLINE,MOY-INFER
ALFA-ROMEO,131,BERLINE,MOY-INFER
ALFA-ROMEO,131,BERLINE,MOY-INFER
ALFA-ROMEO,131,BERLINE,MOY-INFER
ALFA-ROMEO,131,BERLINE,MOY-INFER
